Time	Displacement	Forcewasher
sec	inches	lbf
1.0940E-2	 2.358E+0	 1.465E+0
1.0960E-2	 2.363E+0	 9.766E-1
1.0980E-2	 2.363E+0	 9.766E-1
1.1000E-2	 2.363E+0	 9.766E-1
1.1020E-2	 2.363E+0	 4.883E-1
1.1040E-2	 2.363E+0	 9.766E-1
1.1060E-2	 2.368E+0	 9.766E-1
1.1080E-2	 2.368E+0	 1.465E+0
1.1100E-2	 2.368E+0	 9.766E-1
1.1120E-2	 2.368E+0	 4.883E-1
1.1140E-2	 2.368E+0	 9.766E-1
1.1160E-2	 2.373E+0	 9.766E-1
1.1180E-2	 2.373E+0	 9.766E-1
1.1200E-2	 2.373E+0	 4.883E-1
1.1220E-2	 2.373E+0	 4.883E-1
1.1240E-2	 2.373E+0	 1.465E+0
1.1260E-2	 2.378E+0	 9.766E-1
1.1280E-2	 2.378E+0	 9.766E-1
1.1300E-2	 2.378E+0	 9.766E-1
1.1320E-2	 2.378E+0	 9.766E-1
1.1340E-2	 2.378E+0	 1.465E+0
1.1360E-2	 2.378E+0	 9.766E-1
1.1380E-2	 2.383E+0	 9.766E-1
1.1400E-2	 2.383E+0	 9.766E-1
1.1420E-2	 2.383E+0	 1.465E+0
1.1440E-2	 2.383E+0	 1.465E+0
1.1460E-2	 2.388E+0	 9.766E-1
1.1480E-2	 2.388E+0	 9.766E-1
1.1500E-2	 2.383E+0	 1.465E+0
1.1520E-2	 2.388E+0	 1.465E+0
